Topology,Pass_Rate,Avg_Tokens,Nash_Stability
G0: Baseline (0-shot),0.0%,35,100.0%
G1: Waterfall (Linear),0.0%,320,100.0%
G2: AgentCoder (Loop),100.0%,810,100.0%
G3: MapCoder (Cycle),100.0%,1292,100.0%
