Topology,Pass_Rate,Avg_Tokens,Nash_Stability
"G0: Baseline (0-shot)","0.0%",91.6,"100.0%"
"G1: Waterfall (Linear)","26.0%",958.0,"46.0%"
"G2: AgentCoder (Loop)","42.0%",1132.8,"54.0%"
"G2.5: Reviewer Repair","56.0%",1510.8,"52.0%"
"G3: MapCoder (Cycle)","42.0%",2459.2,"34.0%"
"G4: Parallel Judge","4.0%",547.2,"70.0%"
"G5: Adversarial Debate","30.0%",686.4,"48.0%"
"G6: Hierarchical Setup","30.0%",269.6,"64.0%"
"G7: Mental Simulator","0.0%",0.0,"0.0%"
